date,open,high,low,close,volume
10/02/2014,73.59,73.76,72.96,73.76,6236787
11/02/2014,73.9,74.85,73.67,74.8,6712699
12/02/2014,74.22,75.18,74.22,74.96,5372947
13/02/2014,74.68,75.49,74.56,75.36,5275177
14/02/2014,75.4,75.985,75.1,75.79,4920591
18/02/2014,75.49,75.65,74.8647,75.33,5994299
19/02/2014,75.01,75.32,74.41,74.85,8145148
20/02/2014,73.05,74,72.81,73.52,13103284
21/02/2014,73.19,73.4,72.82,73.12,8971032
24/02/2014,73.24,73.815,73.14,73.35,7326672
25/02/2014,73.18,73.74,73.09,73.35,9500619
26/02/2014,73.94,75.1,73.79,74.78,9027834
27/02/2014,74.78,74.78,74.0901,74.56,5456591
28/02/2014,74.48,75.19,74.2,74.7,7445309
03/03/2014,74.49,74.67,73.825,74.12,5347575
04/03/2014,74.77,75.49,74.66,75.13,7549037
05/03/2014,75.32,75.33,74.58,74.8,5526031
06/03/2014,74.86,75.11,74.51,74.88,5107196
07/03/2014,74.96,74.96,74.365,74.58,5054617
10/03/2014,74.52,74.6,74.05,74.43,4844541
11/03/2014,74.72,74.97,74.2,74.92,9036284
12/03/2014,74.845,75.75,74.82,75.53,8637988
13/03/2014,75.71,76.18,74.91,74.93,5824463
14/03/2014,74.67,75.07,74.27,74.28,6619016
17/03/2014,74.3,74.85,74.01,74.68,5783947
18/03/2014,74.66,74.99,74.45,74.77,3943802
19/03/2014,74.56,75.11,74.02,74.38,5761073
20/03/2014,74.02,75.68,73.86,75.38,8637512
21/03/2014,75.89,77.02,75.45,76.1,17180931
24/03/2014,76.21,76.8,76.11,76.76,7279659
25/03/2014,76.88,77.14,76.16,76.87,7389784
26/03/2014,77.08,77.525,76.23,76.23,7736520
27/03/2014,76.38,76.8199,76.04,76.14,5596634
28/03/2014,76.26,76.595,75.7701,76.01,5871101
31/03/2014,76.35,76.78,76.02,76.43,4695643
01/04/2014,76.76,77.25,76.54,76.77,5770037
02/04/2014,76.58,77.19,76.34,77.18,6078086
03/04/2014,77.2,77.55,77,77.46,6045985
04/04/2014,77.58,77.9,77.25,77.31,6769289
07/04/2014,77.23,77.715,77.0949,77.31,7680807
08/04/2014,77.09,78.31,76.8,78.18,7498660
09/04/2014,78.2,78.22,77.28,77.97,6877819
10/04/2014,77.95,78.14,76.65,76.89,7599640
11/04/2014,76.78,77.23,76.29,76.5,7978971
14/04/2014,76.94,77.55,76.79,77.38,5375940
15/04/2014,77.03,77.31,76.44,76.88,6929329
16/04/2014,77.31,77.465,77.03,77.22,5036770
17/04/2014,77.08,77.75,77.08,77.66,6964745
21/04/2014,77.41,77.73,77.18,77.6,4595096
22/04/2014,77.52,77.825,77.39,77.56,6465465
23/04/2014,77.82,78.2801,77.57,78.04,5806189
24/04/2014,78.17,78.47,77.7,78.31,4354918
25/04/2014,78.31,78.78,78.02,78.62,5396525
28/04/2014,78.86,79.985,78.83,79.76,9598676
29/04/2014,79.84,79.87,79.57,79.67,4695718
30/04/2014,79.59,79.93,79.51,79.71,6111791
01/05/2014,79.73,79.73,79.16,79.7,5098328
02/05/2014,79.6,79.76,79.01,79.12,5620034
05/05/2014,78.86,78.95,78.505,78.62,4590956
